序列,title,rate,style1,style2,h-0,s-0,v-0,percent-0,hex-0,percent-1,hex-1,percent-2,hex-2,percent-3,hex-3,percent-4,hex-4,pic,url
96,革命往事,9.1,"西部
",冒险,28,20,76,0.333426573,#C3AE9B,0.22034965,#16111A,0.177552448,#9B4638,0.158111888,#452325,0.110559441,#74615B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206010357.jpg,https://movie.douban.com/subject/1301026/
97,怦然心动,8.9,爱情,剧情,28,41,3,0.435944056,#070504,0.183566434,#24211B,0.167902098,#453F2E,0.112587413,#8E786E,0.1,#D2BDAF,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,https://movie.douban.com/subject/3319755/
98,极速风流,8.7,"传记
",剧情,29,45,80,0.292714286,#CC9C70,0.209214286,#E3D5C0,0.208928571,#683222,0.156571429,#201818,0.132571429,#BE3E22,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2532780924.jpg,https://movie.douban.com/subject/6803494/
99,天才少女,8.1,"家庭
",剧情,28,66,48,0.287272727,#7A4F2A,0.231468531,#271C14,0.228251748,#E8E2AB,0.202587413,#D9A151,0.05041958,#125730,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2394315478.jpg,https://movie.douban.com/subject/26593587/
100,英国病人,8.4,爱情,剧情,28,69,88,0.232867133,#E08E45,0.221398601,#F2B673,0.21979021,#1C1713,0.174895105,#A45C33,0.151048951,#563A28,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2408623752.jpg,https://movie.douban.com/subject/1291853/
101,钢琴家,9,"战争
",音乐,29,25,6,0.393566434,#100E0C,0.189230769,#0B0A08,0.152307692,#0A0908,0.141118881,#856B4B,0.123776224,#000001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,https://movie.douban.com/subject/1296736/
102,燃情岁月,8.7,"西部
",爱情,29,33,12,0.265524476,#1F1A15,0.223216783,#442C22,0.184405594,#AA7044,0.175314685,#DDA072,0.151538462,#7A472F,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,https://movie.douban.com/subject/1295865/
103,我是,9,"剧情
",,29,47,8,0.423146853,#140F0B,0.222937063,#6B4D36,0.141258741,#130E0A,0.11020979,#140F0B,0.102447552,#BDB0A0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p537073155.jpg,https://movie.douban.com/subject/1763905/
104,美国丽人,8.4,"剧情
",家庭,29,60,91,0.27034965,#E9A05C,0.241818182,#B6491D,0.238461538,#F0BA7F,0.237412587,#D5763C,0.011958042,#76563E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p571671715.jpg,https://movie.douban.com/subject/1292062/
105,教父3,8.8,"犯罪
",剧情,30,2,98,0.291888112,#FBF9F7,0.235874126,#EFC284,0.21041958,#1C1410,0.135734266,#BC7E2F,0.126083916,#764028,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,https://movie.douban.com/subject/1294240/
106,跳出我天地,8.8,"剧情
",儿童,30,7,95,0.276713287,#F1E9E1,0.248741259,#AC1F21,0.195664336,#D86C27,0.156153846,#E0BC5B,0.122727273,#6A232A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p531278288.jpg,https://movie.douban.com/subject/1301169/
107,马戏团,9.1,"喜剧
",爱情,30,8,81,0.317482517,#CFC7BE,0.224055944,#262122,0.184825175,#CE8B4D,0.171398601,#893B1E,0.102237762,#6D7478,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248445275.jpg,https://movie.douban.com/subject/1299628/
108,贝利叶一家,8.3,"家庭
",喜剧,30,29,88,0.290979021,#E0BF9F,0.233286713,#F1E6D4,0.168951049,#B18869,0.163216783,#291F1A,0.143566434,#6C503F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2217443926.jpg,https://movie.douban.com/subject/25855951/
109,放牛班的春天,9.2,"音乐
",剧情,30,32,7,0.305874126,#13100D,0.195804196,#624F39,0.170839161,#A8743A,0.168531469,#CBB076,0.158951049,#DFD9C0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,https://movie.douban.com/subject/1291549/
110,流浪猫鲍勃,8.1,"传记
",喜剧,30,52,67,0.405174825,#AC7F53,0.335104895,#F8F3EA,0.132167832,#FDFCF8,0.075034965,#FCF8F5,0.052517483,#F7F4F7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2360939756.jpg,https://movie.douban.com/subject/26685451/
111,血战钢锯岭,8.7,"战争
",历史,31,54,25,0.31006993,#41301E,0.278461538,#1E130D,0.235734266,#716244,0.096853147,#AC9851,0.078881119,#D1C3AA,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,https://movie.douban.com/subject/26325320/
112,再见列宁,8.7,"剧情
",喜剧,32,1,96,0.497412587,#F6F4F3,0.225034965,#E60908,0.117762238,#C7433F,0.113846154,#B89A99,0.045944056,#181717,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p478546260.jpg,https://movie.douban.com/subject/1292055/
113,情人,8.1,爱情,情色,32,7,95,0.576153846,#F3EBE3,0.216013986,#D5BEB6,0.112797203,#AD8581,0.066223776,#593B39,0.028811189,#CF252D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910917507.jpg,https://movie.douban.com/subject/1291868/
114,秋日奏鸣曲,8.8,"剧情
",,38,12,84,0.394013605,#D6CCBB,0.259115646,#190A08,0.187142857,#BBA293,0.096462585,#857065,0.063265306,#70301B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2034707962.jpg,https://movie.douban.com/subject/1297268/
115,猫鼠游戏,8.8,"犯罪
",剧情,33,0,97,0.458321678,#F7F7F7,0.151398601,#181718,0.138881119,#F9F9F9,0.12993007,#7B829C,0.121468531,#F8F8F8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,https://movie.douban.com/subject/1305487/
116,指环王3：王者无敌,9.1,"奇幻
",动作,33,38,60,0.25034965,#997F60,0.230839161,#6A553C,0.195104895,#362C20,0.166153846,#C4B198,0.157552448,#0C0B08,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,https://movie.douban.com/subject/1291552/
117,阿德尔曼夫妇,8.3,爱情,,33,38,85,0.323846154,#DAB587,0.263986014,#F4EDDF,0.229440559,#9F7556,0.114685315,#513232,0.068041958,#9E4031,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522862293.jpg,https://movie.douban.com/subject/26951692/
118,撞车,8.6,"剧情
",犯罪,33,57,29,0.436363636,#4A3720,0.315244755,#1B1813,0.10972028,#3D4754,0.087202797,#876D42,0.051468531,#D4C299,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg,https://movie.douban.com/subject/1388216/
119,一树梨花压海棠,8.1,爱情,情色,34,2,98,0.394825175,#FAF8F5,0.192657343,#DA5129,0.181118881,#E5B7AA,0.178741259,#EB8B61,0.052657343,#582013,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2193339885.jpg,https://movie.douban.com/subject/1296778/
120,赎罪,8.2,爱情,剧情,34,5,86,0.339440559,#DAD5CF,0.181608392,#262321,0.165384615,#8E7968,0.164965035,#AD6B31,0.148601399,#E3B23A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p867246302.jpg,https://movie.douban.com/subject/1950148/
121,灿烂人生,9.3,"剧情
",爱情,34,30,21,0.332727273,#352E25,0.208251748,#77502B,0.166013986,#F9F149,0.151048951,#DAB343,0.141958042,#C17324,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1161132422.jpg,https://movie.douban.com/subject/1291831/
122,里约大冒险,8.3,动画,喜剧,34,31,88,0.277692308,#E0C29A,0.252447552,#5999CA,0.214685315,#655250,0.164405594,#D4DADD,0.090769231,#DC8F3A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170811687.jpg,https://movie.douban.com/subject/3731581/
123,自闭历程,8.8,"传记
",剧情,34,32,92,0.35013986,#E9C99F,0.263986014,#F8EED8,0.199090909,#D79F5E,0.13034965,#AF674A,0.056433566,#4D2E1E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p583188016.jpg,https://movie.douban.com/subject/3236904/
124,西西里的美丽传说,8.8,"情色
",剧情,34,32,93,0.376783217,#ECCBA0,0.234265734,#E4AD72,0.14972028,#7B6E56,0.127762238,#1F1D1E,0.111468531,#C57C47,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,https://movie.douban.com/subject/1292402/
125,朗读者,8.5,爱情,剧情,35,0,98,0.44013986,#FBFAFA,0.148461538,#BDADA0,0.142377622,#6E5C50,0.136433566,#FAF9F9,0.132587413,#FBFAFA,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,https://movie.douban.com/subject/2213597/
126,真爱至上,8.5,爱情,喜剧,35,1,96,0.409020979,#F5F5F3,0.193216783,#CEB9A6,0.177342657,#9C7253,0.118041958,#2B2422,0.102377622,#9B151F,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,https://movie.douban.com/subject/1292401/
127,偷拐抢骗,8.5,"喜剧
",犯罪,35,2,96,0.455944056,#F4F2F0,0.18034965,#766457,0.157972028,#B4ADA9,0.141048951,#222221,0.064685315,#0F294E,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p616753227.jpg,https://movie.douban.com/subject/1301171/
128,心灵捕手,8.8,"剧情
",,35,6,12,0.388881119,#1F1E1D,0.203146853,#B28D13,0.190629371,#4B432E,0.133356643,#7F5B17,0.083986014,#A79D7A,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,https://movie.douban.com/subject/1292656/
129,老爷车,8.6,"剧情
",,35,17,10,0.244055944,#191715,0.198251748,#11100E,0.188741259,#0D0C0A,0.188251748,#0C0A09,0.180699301,#0D0C0A,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1155945089.jpg,https://movie.douban.com/subject/3026357/
130,信笺故事,8.3,剧情,,35,63,64,0.356573427,#A4793C,0.346223776,#8F6328,0.164545455,#170D0A,0.117552448,#693B17,0.015104895,#E2D6C0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511250973.jpg,https://movie.douban.com/subject/26793852/
131,我是山姆,8.8,"家庭
",剧情,35,78,75,0.28951049,#C0812B,0.234335664,#CDA244,0.213636364,#35120A,0.170839161,#D6C276,0.091678322,#7E4C1E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,https://movie.douban.com/subject/1306861/
132,狗镇,8.4,"剧情
",悬疑,36,0,95,0.573006993,#F2F2F2,0.136433566,#B1ACAB,0.131748252,#4F4C49,0.085454545,#1B1A19,0.073356643,#A88166,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462102607.jpg,https://movie.douban.com/subject/1298759/
133,黑天鹅,8.5,"惊悚
",剧情,36,0,99,0.550769231,#FDFDFC,0.215594406,#050404,0.10951049,#2D2928,0.072027972,#CCC9C8,0.052097902,#797473,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p719282906.jpg,https://movie.douban.com/subject/1978709/
134,明日边缘,8,"科幻
",动作,36,3,79,0.301118881,#CAC8C4,0.264545455,#0C0E0E,0.249370629,#818A8C,0.152307692,#3A3D3C,0.032657343,#992825,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2185073849.jpg,https://movie.douban.com/subject/4746257/
135,斯隆女士,8.7,"剧情
",惊悚,36,4,88,0.328041958,#E0DCD7,0.303916084,#EDEEEE,0.24013986,#B6B5AF,0.065804196,#2A2633,0.062097902,#875A4E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2356912156.jpg,https://movie.douban.com/subject/26703158/
136,少年派的奇幻漂流,9,"奇幻
",冒险,36,12,85,0.364265734,#D8CDBD,0.328881119,#C2AD96,0.181468531,#A9A7A4,0.064055944,#727685,0.061328671,#A06542,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,https://movie.douban.com/subject/1929463/
137,天鹅绒金矿,8.4,"同性
",音乐,36,15,14,0.619230769,#23211E,0.125174825,#E4AD51,0.10034965,#E2B384,0.094195804,#805E41,0.061048951,#3B7DA9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p580624079.jpg,https://movie.douban.com/subject/1294136/
138,雨人,8.6,"剧情
",,36,29,41,0.355034965,#685C4A,0.225174825,#AAA5AD,0.213706294,#231F10,0.111538462,#A78E5B,0.094545455,#A89F41,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,https://movie.douban.com/subject/1291870/
139,大都会,8.9,"科幻
",剧情,36,30,12,0.330699301,#1E1A15,0.246993007,#62482F,0.200699301,#C65517,0.134055944,#C0AB77,0.087552448,#EAA933,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p906689323.jpg,https://movie.douban.com/subject/1298107/
140,追随,8.9,"悬疑
",犯罪,36,63,88,0.311118881,#E1A853,0.284755245,#181814,0.148601399,#473E32,0.137342657,#877052,0.118181818,#C7A978,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150103377.jpg,https://movie.douban.com/subject/1397546/
141,记忆碎片,8.5,"悬疑
",剧情,37,3,93,0.423776224,#EDEBE7,0.22965035,#0D0708,0.130909091,#6F3E35,0.126293706,#E06336,0.089370629,#F6C576,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,https://movie.douban.com/subject/1304447/
142,魔术师,8.7,动画,剧情,37,5,9,0.442097902,#181717,0.23965035,#2E2925,0.17979021,#4D4942,0.07020979,#AA0F15,0.068251748,#97765D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p791086335.jpg,https://movie.douban.com/subject/1921583/
143,霍比特人2：史矛革之战,8.2,"奇幻
",冒险,37,28,2,0.368671329,#050504,0.206433566,#1C1E17,0.159300699,#423222,0.151118881,#75573C,0.114475524,#B49270,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166784595.jpg,https://movie.douban.com/subject/11606328/
144,乱世佳人,9.2,爱情,战争,37,37,97,0.365664336,#F8D49C,0.17972028,#967753,0.176363636,#582618,0.153426573,#C14720,0.124825175,#EF9338,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,https://movie.douban.com/subject/1300267/
145,国王的演讲,8.3,"传记
",剧情,37,89,98,0.519230769,#FBA71D,0.15979021,#553B22,0.119370629,#D28F28,0.117342657,#1C120D,0.084265734,#A16728,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,https://movie.douban.com/subject/4023638/
146,洛城机密,8.7,"犯罪
",悬疑,38,25,5,0.549440559,#0E0C0A,0.146573427,#C8C0BC,0.142587413,#7F7774,0.124265734,#413D3A,0.037132867,#B52F29,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2268612099.jpg,https://movie.douban.com/subject/1292348/
147,卡萨布兰卡,8.6,爱情,战争,38,25,96,0.351678322,#F6DFB8,0.229370629,#C39D8E,0.178531469,#503C3A,0.157622378,#8C7DA0,0.082797203,#DB6A6E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244791866.jpg,https://movie.douban.com/subject/1296753/
148,廊桥遗梦,8.6,爱情,剧情,38,30,62,0.248531469,#9E8D6F,0.247272727,#7D6846,0.23951049,#56401F,0.141048951,#181917,0.123636364,#463A2B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190558219.jpg,https://movie.douban.com/subject/1293929/
149,丹麦女孩,8.1,"传记
",剧情,38,48,74,0.228251748,#BC9A61,0.220629371,#5B3B27,0.202517483,#DBC08E,0.189370629,#996C3F,0.159230769,#824C2C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264778990.jpg,https://movie.douban.com/subject/3071604/
150,加勒比海盗2：聚魂棺,8.1,"奇幻
",动作,38,51,9,0.331678322,#16120B,0.26020979,#30341A,0.166923077,#696A3C,0.134965035,#65391F,0.106223776,#B8965C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1076822803.jpg,https://movie.douban.com/subject/1315574/
151,战争之王,8.6,"剧情
",犯罪,39,1,98,0.458601399,#F9F8F6,0.19013986,#1A1514,0.166433566,#5A3326,0.126293706,#C08863,0.058531469,#928E8B,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg,https://movie.douban.com/subject/1419936/
152,超脱,8.8,"剧情
",,39,10,10,0.338391608,#191817,0.214545455,#B9B1AC,0.198531469,#5C5A58,0.135244755,#423E3B,0.113286713,#928680,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,https://movie.douban.com/subject/5322596/
153,末代皇帝,9,"历史
",传记,39,38,97,0.288601399,#F7D79A,0.286853147,#EC9B58,0.153146853,#AF9DA8,0.143426573,#3F192B,0.127972028,#A34637,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,https://movie.douban.com/subject/1293172/
154,美丽心灵,8.9,"传记
",剧情,39,60,8,0.362937063,#151008,0.212657343,#D6DBC2,0.172307692,#453724,0.135174825,#74806B,0.116923077,#9F7351,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,https://movie.douban.com/subject/1306029/
155,换子疑云,8.4,"剧情
",悬疑,40,0,97,0.363216783,#F8F8F8,0.24965035,#2E2016,0.187272727,#160F0A,0.10951049,#655045,0.09034965,#B29E95,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794207971.jpg,https://movie.douban.com/subject/2028666/
156,大坏狐狸的故事,8.3,动画,喜剧,40,7,98,0.539440559,#FAF4E8,0.206363636,#F2DBB7,0.110839161,#B2A793,0.078811189,#C48C4B,0.064545455,#6D5743,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2515632084.jpg,https://movie.douban.com/subject/27042405/
157,追风筝的人,8.2,"剧情
",,40,11,87,0.37951049,#DED6C6,0.206993007,#2B2526,0.163006993,#867159,0.137342657,#1E2561,0.113146853,#929BAE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p956325412.jpg,https://movie.douban.com/subject/1937502/
158,勇往直前,8.5,"灾难
",传记,40,41,32,0.282727273,#524630,0.263636364,#1F1E19,0.20048951,#A09175,0.142517483,#7DA6B6,0.110629371,#BA5B14,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2506348908.jpg,https://movie.douban.com/subject/26718828/
159,婚姻生活,9,爱情,剧情,41,2,93,0.542097902,#EEEDEA,0.164545455,#C3BABA,0.127132867,#090808,0.109370629,#D49096,0.056853147,#646262,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2037298187.jpg,https://movie.douban.com/subject/1292981/
160,奇迹男孩,8.7,"家庭
",儿童,41,10,83,0.266783217,#D4CEC0,0.228321678,#413934,0.187482517,#7D746C,0.16,#B1885A,0.157412587,#E1DD98,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,https://movie.douban.com/subject/26787574/
161,叫我第一名,8.6,"剧情
",传记,41,25,86,0.349230769,#DCCAA5,0.253076923,#E8E3CF,0.215594406,#BA9C71,0.097132867,#231914,0.084965035,#813529,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p628364149.jpg,https://movie.douban.com/subject/4798888/
162,你逃我也逃,9.2,"喜剧
",战争,41,31,95,0.36951049,#F1D9A7,0.288811189,#F0E6D0,0.136293706,#A79B89,0.116503497,#BA8542,0.088881119,#32232E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1339915772.jpg,https://movie.douban.com/subject/1303418/
163,一级恐惧,8.4,"悬疑
",犯罪,41,33,95,0.253006993,#F2D9A2,0.251818182,#1B1213,0.213006993,#402C29,0.14972028,#B9926C,0.132447552,#715348,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150407027.jpg,https://movie.douban.com/subject/1296217/
164,洞,9.2,"剧情
",犯罪,41,36,27,0.364475524,#453D2C,0.278321678,#120E09,0.18965035,#857F71,0.087132867,#D6D6D4,0.08041958,#F4F24B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2497389079.jpg,https://movie.douban.com/subject/1424334/
165,傲慢与偏见,8.5,爱情,剧情,41,37,83,0.389230769,#D5BC85,0.191888112,#A46B40,0.187972028,#5B411C,0.149300699,#20180F,0.081608392,#BDC4C3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg,https://movie.douban.com/subject/1418200/
166,相助,8.8,"剧情
",,41,80,92,0.372097902,#ECB130,0.299370629,#F3C230,0.127832168,#7B5868,0.107692308,#C2B0A9,0.093006993,#B38747,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1225179026.jpg,https://movie.douban.com/subject/3792848/
167,弱点,8.4,"家庭
",剧情,42,14,10,0.237272727,#1B1A17,0.213356643,#E1E5E9,0.194965035,#53473C,0.180909091,#99AABA,0.173496503,#65663C,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2181613001.jpg,https://movie.douban.com/subject/3552028/
168,教父,9.2,"犯罪
",剧情,42,14,99,0.391048951,#FCF2DA,0.187132867,#120D0C,0.177342657,#3A1A12,0.125244755,#8B4127,0.119230769,#DFA774,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,https://movie.douban.com/subject/1291841/
169,西部往事,8.5,"西部
",剧情,42,17,87,0.253216783,#DDD2B7,0.21958042,#B74A3C,0.185104895,#C19A65,0.177622378,#7E6445,0.164475524,#383029,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2164100072.jpg,https://movie.douban.com/subject/1293394/
170,异形,8,"科幻
",恐怖,42,32,2,0.462377622,#060504,0.158881119,#050504,0.138251748,#030302,0.123286713,#000000,0.117202797,#5A6A46,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1756402567.jpg,https://movie.douban.com/subject/1300868/
171,天佑鲍比,8.8,"同性
",剧情,42,47,87,0.293216783,#DDBE75,0.235664336,#897B5E,0.211468531,#EEE6CA,0.151188811,#2C221C,0.108461538,#4D5E7D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1662271271.jpg,https://movie.douban.com/subject/3154003/
172,神奇动物在哪里,7.8,"奇幻
",冒险,43,14,94,0.284195804,#F0E7CE,0.239160839,#C4B9A6,0.199230769,#9A9287,0.193146853,#6E6A63,0.084265734,#393D45,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2392444121.jpg,https://movie.douban.com/subject/25726614/
173,坠入,8.8,"奇幻
",剧情,43,34,83,0.259370629,#D4C08C,0.232727273,#22181A,0.193076923,#927245,0.184335664,#91140F,0.13048951,#434C8D,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p568541514.jpg,https://movie.douban.com/subject/1890572/
174,荒岛余生,8.5,"剧情
",冒险,44,2,98,0.299300699,#FBF9F5,0.203916084,#191512,0.181398601,#504037,0.172867133,#866F62,0.142517483,#C4B5A9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2207673537.jpg,https://movie.douban.com/subject/1298653/
175,闪灵,8,"恐怖
",悬疑,44,4,97,0.334755245,#F7F4EC,0.290629371,#170808,0.156083916,#CB9163,0.139300699,#81331E,0.079230769,#93908E,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2026663886.jpg,https://movie.douban.com/subject/1292225/
176,小王子,8,动画,奇幻,44,33,99,0.343986014,#FCE5A9,0.207342657,#E2AC6E,0.187972028,#897041,0.174755245,#412816,0.085944056,#B8AA41,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2274029145.jpg,https://movie.douban.com/subject/20645098/
177,聚焦,8.8,"剧情
",传记,45,1,97,0.297272727,#F8F8F6,0.253636364,#101213,0.190839161,#CCC8BF,0.146363636,#3D3C38,0.111888112,#877E6B,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,https://movie.douban.com/subject/25954475/
178,卢旺达饭店,8.9,"战争
",历史,45,13,97,0.438461538,#F8F0D7,0.227062937,#2F1D1B,0.121118881,#834B32,0.112797203,#DDAD5D,0.100559441,#B19C87,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159368352.jpg,https://movie.douban.com/subject/1291822/
179,飓风营救,8.2,"动作
",犯罪,45,19,3,0.337202797,#080706,0.244615385,#38322A,0.163006993,#070706,0.141188811,#050505,0.113986014,#030303,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1595764830.jpg,https://movie.douban.com/subject/2124586/
180,社交网络,8.1,"传记
",剧情,45,63,5,0.397902098,#0E0B05,0.242797203,#392D20,0.144965035,#A97B56,0.12027972,#DFD9D0,0.094055944,#6A6B73,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p679478005.jpg,https://movie.douban.com/subject/3205624/
181,飞越疯人院,9,"剧情
",,46,1,99,0.394685315,#FDFCFB,0.274055944,#F0F0ED,0.119230769,#161615,0.11,#716764,0.102027972,#CAC8C6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,https://movie.douban.com/subject/1292224/
182,天生一对,8.3,"喜剧
",儿童,46,1,99,0.471398601,#FCFCFA,0.203776224,#E4BB8A,0.136013986,#3E2B1D,0.094615385,#9A6C48,0.094195804,#8DAAB7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1933809793.jpg,https://movie.douban.com/subject/1297102/
183,教父2,9.1,"犯罪
",剧情,46,11,98,0.349160839,#FBF5E0,0.255244755,#EAB97D,0.160559441,#7C3D22,0.143986014,#BB7E45,0.091048951,#341C17,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,https://movie.douban.com/subject/1299131/
184,控方证人,9.6,"悬疑
",犯罪,46,16,87,0.555944056,#DDD5BA,0.139440559,#A48F78,0.128601399,#A7492A,0.124825175,#3C342D,0.051188811,#D7C764,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,https://movie.douban.com/subject/1296141/
185,成为简·奥斯汀,8.2,爱情,传记,46,57,34,0.269020979,#574B25,0.262657343,#E5DBCA,0.234965035,#A98A78,0.206713287,#19150D,0.026643357,#2D5282,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1284506783.jpg,https://movie.douban.com/subject/1920805/
186,阳光小美女,8.2,"喜剧
",家庭,46,73,94,0.507062937,#F1C941,0.208811189,#F1CC3C,0.132867133,#C39F3D,0.090979021,#A5886A,0.06027972,#1F1A16,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792394752.jpg,https://movie.douban.com/subject/1777612/
187,安妮·霍尔,8.5,爱情,喜剧,47,0,99,0.463986014,#FCFCFB,0.160699301,#CFCECD,0.128321678,#595855,0.125314685,#989795,0.121678322,#FEFEFE,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p619900470.jpg,https://movie.douban.com/subject/1296987/
188,完美的世界,9,"犯罪
",剧情,47,1,94,0.411328671,#F1F0EE,0.176783217,#F4F5F3,0.159230769,#F4F5F3,0.136713287,#6B5649,0.115944056,#FAFDFC,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg,https://movie.douban.com/subject/1300992/
189,洛奇,8.6,"剧情
",爱情,47,2,95,0.416643357,#F2F1ED,0.241398601,#141415,0.203356643,#D0CFCD,0.09006993,#3E3E3E,0.048531469,#929191,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2252066664.jpg,https://movie.douban.com/subject/1295742/
190,无耻混蛋,8.4,"剧情
",犯罪,47,6,89,0.31048951,#E3E1D7,0.265594406,#817B6F,0.265244755,#26211D,0.081328671,#8B2F2C,0.077342657,#DA0E12,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg,https://movie.douban.com/subject/1438652/
191,爱情短片,8.8,爱情,剧情,47,10,24,0.364895105,#3C3B36,0.326573427,#1F1D1A,0.171048951,#887769,0.071678322,#903C3D,0.065804196,#87B3C1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2189908788.jpg,https://movie.douban.com/subject/1294570/
